rank,contract,address,quantity,percent
1,False,0x0f680a01eeb1f4ac57fd95e79c9d1880749a657b,986905575995349.0,0.9869060000000001
2,True,0x4fe323429887dade7e256be17d5511c8abc26a48,6539315897638.303,0.0065390000000000005
3,False,0x3ae3a2e6e947ec69aabbb7e09ba703ff315936af,1136053991957.4045,0.001136
4,False,0x8cf530100c9106a630a3696d5a8f99668ec7bc68,692004457916.8444,0.000692
5,False,0xcb6c48757252ad8425497e13bdbb285d3dda3f49,557241281084.6857,0.000557
6,False,0xa1f6d3db03482f50b779434e4abc15f83f901e84,215088380714.4521,0.000215
7,False,0x982ffd1985ba40ad751d3881c338661c62ab43bf,135572530360.60081,0.000136
8,False,0x08641ae12e9fba41c76b03d6bc927502950745cd,118114356438.26476,0.000118
9,False,0x89316b534fdb24765715cd5691e79a3ecb093162,109051632207.59865,0.00010899999999999999
10,False,0xa0a113116e7d529b6e797e16190843fbbf77a6ee,100000000000.0,0.0001
11,False,0xa58b57770cb89ccc0d8dcc953a95b6868fcbe218,96478251770.46965,9.599999999999999e-05
12,False,0x88d888640c3ea74303ce7152ce672df6e7dc55b2,86258204584.28831,8.6e-05
13,False,0xadcf4c4733bdffe9cdba4e1af70760903c17ef9b,42649977836.34752,4.3e-05
14,False,0xcb198b9e42706c6a7b03674fedcd81548e6c76bf,39426276929.95128,3.9e-05
15,False,0xba26e9ee86aee59e227a992130e8bd2c28cbc5ee,25000000000.0,2.5e-05
16,False,0xf591798c9b689045b9afbccc6ff81c6feb2603f2,19278792109.152996,1.9e-05
17,False,0x7046c348403c4c86f510e0d5334fc8fb06dbc674,16075163852.704086,1.6e-05
18,False,0xedc39c0de79175cd463d268359436acd6bde293f,10682849198.09279,1.1000000000000001e-05
19,False,0x43d4b4551bc9cd2f1770e5fc59b043043a80d167,9965059852.796835,1e-05
20,False,0x3c1acf05c4dcc8ef94cf7ff48f64f5757aafb9db,9945194327.128397,1e-05
21,False,0x6d96254e563907d0b73a5cbaadeea761a20cd8cb,9925388170.414707,1e-05
22,False,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,9635425001.0,1e-05
23,False,0xcdad99c38012d0a4122a61926f477b62f2dd805a,8577373441.535762,9e-06
24,True,0x0000000000000000000000000000000000001004,8343898225.0,8e-06
25,False,0x631fc1ea2270e98fbd9d92658ece0f5a269aa161,6225092198.0,5.999999999999999e-06
26,False,0x5007349eafb27905bfc43307af5a15ac9bfdb58f,5750247001.085251,5.999999999999999e-06
27,False,0x45e56237fa10132836a307d5d284725399bbb745,5667289639.431776,5.999999999999999e-06
28,False,0x3c9c371995ccad57230d7e2843419d55f96c1bdf,5000000000.0,5e-06
29,False,0x582a6e4d695d0890eb5faa399af2026a9d5b11c7,4997477209.0,5e-06
30,False,0x6e38468815fb854b8f93ad323585863f601ba97c,4994623133.0,5e-06
31,False,0x507c8a9e5b8ce37639355fb8713cbe4692f8ffd6,4988922472.0,5e-06
32,False,0x11ededebf63bef0ea2d2d071bdf88f71543ec6fb,4987984333.0,5e-06
33,False,0xf6174bdd62299397051f686909518525c5413160,4986605963.0,5e-06
34,False,0x5acc98bc7efe44759b8234abe9700294455c307c,4984268725.0,5e-06
35,False,0x7291ea174dfc2b671dbee492c1ed9c11d2dea417,4983828999.0,5e-06
36,False,0xe7db38f29c521450f40967f30d3e9977380988a9,4981148494.0,5e-06
37,False,0xf3f6bdab9bbe155967438547e932301f4f816d57,4972427182.0,5e-06
38,False,0xfd4c3901a5e15a55c0230359fb8a4478e6cedbd1,4965844481.0,5e-06
39,False,0x92e5e9b30b1e3e6886ad931d061d4a4b7dbb3a35,4960492167.0,5e-06
40,False,0x320807503222cfec30e4f473cda66472441101a5,4957591570.0,5e-06
41,True,0x05a8ba2def87f8adaf223edcd04f7fc82ea6aee8,4956072669.0,5e-06
42,False,0x71b2abd42e333ce05fd666c881746f1ce7e7bd37,4951405779.0,5e-06
43,False,0x51c019fa8fc009a04d066d4965470fb7a08cfd5a,4950565057.0,5e-06
44,False,0xb9ead9ca79d101b9c06843cb0c280b710ad6d50e,4936254598.0,5e-06
45,False,0xa0b2bb69be381d7d814c308a30b265258e1b33ee,4927313455.0,5e-06
46,False,0x1ddc00dc71114fe74fd011eecb3951826e7ae2b8,4925512858.0,5e-06
47,False,0xed24bd297e8a6c11357579728f6fa39d86a76fbf,4924872477.0,5e-06
48,False,0x7bc6664f818985218b3b5e910e9f26cb7839a78b,4923562082.0,5e-06
49,False,0x044c1b203c7e0dba561d7312cc125a76c73c953d,4902384144.0,5e-06
50,False,0xa72353a28d5e9247483c4e5b3575ea816a6ce3f2,4896684377.0,5e-06
